gt_track_id,boundary_frame,src_node_id,dst_node_id,population,gt_correct,curr_person_id,nxt_person_id,curr_in_group,nxt_in_group,edge_id,edge_type,is_allowed,disallow_reasons,total_cost,term_env,term_time,term_vreq,term_missing_geom,term_flags,term_group_coherence,term_birth_prior,term_death_prior,term_merge_prior,term_split_prior,dt_s,dist_m,v_req_mps
2,644,T:t3:s5:359-666,T:t47,no_edge_exists,,p0003,p0007,False,False,,,,,,,,,,,,,,,,,,
2,645,T:t47,T:t3:s5:359-666,no_edge_exists,,p0007,p0003,False,False,,,,,,,,,,,,,,,,,,
2,646,T:t3:s5:359-666,T:t47,no_edge_exists,,p0003,p0007,False,False,,,,,,,,,,,,,,,,,,
2,647,T:t47,T:t3:s5:359-666,no_edge_exists,,p0007,p0003,False,False,,,,,,,,,,,,,,,,,,
2,667,T:t3:s5:359-666,G:667-702:carrier=t3:d=t82:n=none,no_edge_exists,,p0003,p0003,False,True,,,,,,,,,,,,,,,,,,
2,1210,T:t120,T:t126,no_edge_exists,,p0011,p0012,False,False,,,,,,,,,,,,,,,,,,
2,1650,G:1561-1649:carrier=t147:d=t158:n=t163,T:t147:s6:1650-1754,no_edge_exists,,p0004,p0004,False,False,,,,,,,,,,,,,,,,,,
2,1684,T:t147:s6:1650-1754,T:t163,no_edge_exists,,p0004,p0012,False,False,,,,,,,,,,,,,,,,,,
2,1693,T:t163,T:t147:s6:1650-1754,no_edge_exists,,p0012,p0004,False,False,,,,,,,,,,,,,,,,,,
2,1702,T:t147:s6:1650-1754,T:t163,no_edge_exists,,p0004,p0012,False,False,,,,,,,,,,,,,,,,,,
2,1719,T:t163,T:t147:s6:1650-1754,no_edge_exists,,p0012,p0004,False,False,,,,,,,,,,,,,,,,,,
2,1724,T:t166,T:t147:s6:1650-1754,no_edge_exists,,p0017,p0004,False,False,,,,,,,,,,,,,,,,,,
3,104,T:t10:s0:35-103,G:104-136:carrier=t10:d=t16:n=none,chosen_wrong,False,p0011,p0006,False,True,E:CONT:T:t10:s0:35-103->G:104-136:carrier=t10:d=t16:n=none,EdgeType.CONTINUE,True,[],0.01639133257436528,0.01,0.006391332574365281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.015889181782810655,0.24074517852743416
3,518,T:t67:s0:510-522,T:t68,no_edge_exists,,p0010,p0004,False,False,,,,,,,,,,,,,,,,,,
3,624,G:523-623:carrier=t67:d=t68:n=t79,T:t67:s2:624-630,no_edge_exists,,p0004,p0004,False,False,,,,,,,,,,,,,,,,,,
3,625,T:t67:s2:624-630,T:t79,no_edge_exists,,p0004,p0010,False,False,,,,,,,,,,,,,,,,,,
3,631,T:t79,G:631-704:carrier=t67:d=t79:n=none,no_edge_exists,,p0010,p0004,False,False,,,,,,,,,,,,,,,,,,
3,814,G:750-820:carrier=t90:d=t67_s2:n=t94,T:t93,no_edge_exists,,p0004,p0012,True,False,,,,,,,,,,,,,,,,,,
3,817,T:t93,G:750-820:carrier=t90:d=t67_s2:n=t94,no_edge_exists,,p0012,p0004,False,True,,,,,,,,,,,,,,,,,,
3,821,G:750-820:carrier=t90:d=t67_s2:n=t94,T:t94,chosen_wrong,False,p0004,p0005,True,False,E:SPLIT:G:750-820:carrier=t90:d=t67_s2:n=t94->T:t94,EdgeType.SPLIT,True,[],0.1970427236438787,0.01,0.0,0.03704272364387871,0.0,0.0,0.05,0.0,0.0,0.0,0.1,,0.3849297268015486,
3,1381,G:1356-1380:carrier=t147:d=t4_s12:n=t152,T:t147:s2:1381-1385,no_edge_exists,,p0012,p0004,False,False,,,,,,,,,,,,,,,,,,
3,1385,T:t152,T:t147:s2:1381-1385,no_edge_exists,,p0012,p0004,False,False,,,,,,,,,,,,,,,,,,
3,1559,G:1386-1558:carrier=t147:d=t152:n=t158,T:t158,no_edge_exists,,p0012,p0012,False,False,,,,,,,,,,,,,,,,,,
3,1739,T:t166,T:t147:s6:1650-1754,no_edge_exists,,p0017,p0004,False,False,,,,,,,,,,,,,,,,,,
3,1743,T:t147:s6:1650-1754,T:t166,no_edge_exists,,p0004,p0017,False,False,,,,,,,,,,,,,,,,,,
4,673,T:t81,G:673-682:carrier=t2:d=t81:n=t81_s2,chosen_wrong,False,p0006,p0005,False,True,E:MERGE:T:t81->G:673-682:carrier=t2:d=t81:n=t81_s2,EdgeType.MERGE,True,[],0.6125352567848198,0.01,0.0,0.4525352567848198,0.0,0.0,0.05,0.0,0.0,0.1,0.0,,1.009061112007516,
4,894,T:t2:s12:712-894,T:t102,no_edge_exists,,p0001,p0003,False,False,,,,,,,,,,,,,,,,,,
4,895,T:t102,G:895-1264:carrier=t2:d=t102:n=t135,no_edge_exists,,p0003,p0003,False,False,,,,,,,,,,,,,,,,,,
4,1717,G:1649-1716:carrier=t2:d=t161:n=t165,T:t2:s18:1717-1735,no_edge_exists,,p0003,p0001,False,False,,,,,,,,,,,,,,,,,,
5,4,T:t6,G:4-76:carrier=t4:d=t6:n=none,no_edge_exists,,p0009,p0006,False,False,,,,,,,,,,,,,,,,,,
