camera,hour,run_label,segment_filename,wall_start_utc,timing_mode,excluded_cfr_grid,sidecar_schema,measured_fps,input_frame_count,output_frame_count,mismatch,attempt,seg_seconds,is_phase2,width,height,bitrate_bps,brightness_mean,brightness_std,people_mean_025,people_max_025,people_mean_045,people_max_045,n_samples,dt_median_ms,dt_min_ms,dt_max_ms,dt_std_ms,n_near_33ms,n_near_67ms,n_dt_total
PPDmUg,11,smoke_11,PPDmUg-20260804-114416.mp4,20260804-114416,passthrough,False,2,14.9998,358,330,True,1,23.9,False,1280,720,465900,92.19,0.44,0.0,0,0.0,0,11,,,,,,,
PPDmUg,11,smoke_11,PPDmUg-20260804-114438.mp4,20260804-114438,passthrough,False,2,15.0005,299,300,True,1,19.9,False,1280,720,488646,91.7,0.7,0.0,0,0.0,0,10,,,,,,,
PPDmUg,11,smoke_11,PPDmUg-20260804-114458.mp4,20260804-114458,passthrough,False,2,15.0003,228,255,True,1,15.2,False,1280,720,539188,90.58,0.89,0.0,0,0.0,0,9,,,,,,,
PPDmUg,11,smoke_11,PPDmUg-20260804-114637.mp4,20260804-114637,cfr_grid,True,2,14.9998,356,330,True,1,23.7,False,1280,720,501013,,,,,,,0,,,,,,,
PPDmUg,11,smoke_11,PPDmUg-20260804-114700.mp4,20260804-114700,cfr_grid,True,2,15.0021,74,100,True,1,4.9,False,1280,720,523459,,,,,,,0,,,,,,,
PPDmUg,14,smoke_14,PPDmUg-20260804-142858.mp4,20260804-142858,passthrough,False,2,15.0,357,330,True,1,23.8,False,1280,720,454045,110.19,0.05,0.0,0,0.0,0,11,,,,,,,
PPDmUg,14,smoke_14,PPDmUg-20260804-142920.mp4,20260804-142920,passthrough,False,2,14.9995,300,300,False,1,20.0,False,1280,720,474884,109.92,0.16,0.0,0,0.0,0,10,,,,,,,
PPDmUg,14,smoke_14,PPDmUg-20260804-142940.mp4,20260804-142940,passthrough,False,2,14.9993,213,240,True,1,14.2,False,1280,720,474260,109.38,0.17,0.0,0,0.0,0,8,,,,,,,
PPDmUg,14,smoke_14,PPDmUg-20260804-143300.mp4,20260804-143300,cfr_grid,True,2,14155.3398,340,240,True,1,0.0,False,1280,720,388470,,,,,,,0,,,,,,,
PPDmUg,14,smoke_14,PPDmUg-20260804-143322.mp4,20260804-143322,cfr_grid,True,2,13955.0562,301,240,True,1,0.0,False,1280,720,416932,,,,,,,0,,,,,,,
PPDmUg,14,smoke_14,PPDmUg-20260804-143342.mp4,20260804-143342,cfr_grid,True,2,13094.2623,248,224,True,1,0.0,False,1280,720,405104,,,,,,,0,,,,,,,
PPDmUg,14,smoke_14,PPDmUg-20260804-143606.mp4,20260804-143606,cfr_grid,True,2,14336.2832,330,300,True,1,0.0,False,1280,720,384070,,,,,,,0,,,,,,,
PPDmUg,14,smoke_14,PPDmUg-20260804-143626.mp4,20260804-143626,cfr_grid,True,2,17291.6667,301,300,True,1,0.0,False,1280,720,456108,,,,,,,0,,,,,,,
PPDmUg,14,smoke_14,PPDmUg-20260804-143647.mp4,20260804-143647,cfr_grid,True,2,17435.8974,257,284,True,1,0.0,False,1280,720,480959,,,,,,,0,,,,,,,
PPDmUg,15,aborted,PPDmUg-20260804-150849.mp4,20260804-150849,passthrough,False,2,15.0001,1388,1389,True,1,92.5,False,1280,720,462840,104.66,0.47,0.0,0,0.0,0,10,,,,,,,
PPDmUg,15,capture,PPDmUg-20260804-153241.mp4,20260804-153241,passthrough,False,2,15.0,1861,1830,True,1,124.1,False,1280,720,479490,104.69,0.82,0.0,0,0.0,0,13,,,,,,,
PPDmUg,15,capture,PPDmUg-20260804-153442.mp4,20260804-153442,passthrough,False,2,15.0,1576,1608,True,1,105.1,False,1280,720,474397,105.74,0.75,0.0,0,0.0,0,11,,,,,,,
PPDmUg,15,capture,PPDmUg-20260804-153855.mp4,20260804-153855,passthrough,False,2,15.0001,591,592,True,5,39.4,False,1280,720,393660,110.5,1.01,0.0,0,0.0,0,4,,,,,,,
PPDmUg,15,capture,PPDmUg-20260804-154221.mp4,20260804-154221,passthrough,False,2,15.0001,1858,1830,True,7,123.9,False,1280,720,472599,110.6,1.67,0.0,0,0.0,0,13,,,,,,,
PPDmUg,15,capture,PPDmUg-20260804-154423.mp4,20260804-154423,passthrough,False,2,15.0,358,387,True,7,23.9,False,1280,720,476063,108.85,0.09,0.0,0,0.0,0,13,,,,,,,
PPDmUg,15,capture,PPDmUg-20260804-154626.mp4,20260804-154626,passthrough,False,2,15.0001,1858,1830,True,10,123.9,False,1280,720,491547,107.6,1.77,0.0,0,0.0,0,13,,,,,,,
PPDmUg,15,capture,PPDmUg-20260804-154828.mp4,20260804-154828,passthrough,False,2,15.2216,1860,1860,False,10,122.2,False,1280,720,512403,107.9,1.23,0.0,0,0.0,0,13,,,,,,,
PPDmUg,15,capture,PPDmUg-20260804-155028.mp4,20260804-155028,passthrough,False,2,15.0,1769,1770,True,10,117.9,False,1280,720,499370,108.93,2.15,0.0,0,0.0,0,12,,,,,,,
PPDmUg,15,capture,PPDmUg-20260804-155226.mp4,20260804-155226,passthrough,False,2,15.0,911,939,True,10,60.7,False,1280,720,504617,109.55,1.71,0.0,0,0.0,0,7,,,,,,,
PPDmUg,15,capture,PPDmUg-20260804-155436.mp4,20260804-155436,passthrough,False,2,15.0,1856,1830,True,12,123.7,False,1280,720,381332,107.59,0.46,0.0,0,0.0,0,13,,,,,,,
PPDmUg,15,capture,PPDmUg-20260804-155627.mp4,20260804-155627,passthrough,False,2,15.0,1800,1800,False,12,120.0,False,1280,720,382272,107.64,0.43,0.0,0,0.0,0,12,,,,,,,
PPDmUg,15,capture,PPDmUg-20260804-155827.mp4,20260804-155827,passthrough,False,2,15.0,1802,1800,True,12,120.1,False,1280,720,381493,106.8,0.12,0.0,0,0.0,0,12,,,,,,,
PPDmUg,15,capture,PPDmUg-20260804-160028.mp4,20260804-160028,passthrough,False,2,15.0,1390,1419,True,12,92.7,False,1280,720,386370,106.61,0.12,0.0,0,0.0,0,10,,,,,,,
PPDmUg,15,capture,PPDmUg-20260804-160249.mp4,20260804-160249,passthrough,False,2,15.0001,1428,1429,True,13,95.2,False,1280,720,381703,106.49,0.79,0.0,0,0.0,0,10,,,,,,,
PPDmUg,15,capture,PPDmUg-20260804-160438.mp4,20260804-160438,passthrough,False,2,15.0,1858,1830,True,14,123.9,False,1280,720,469324,109.02,0.79,0.0,0,0.0,0,13,,,,,,,
PPDmUg,15,capture,PPDmUg-20260804-160641.mp4,20260804-160641,passthrough,False,2,14.9999,1800,1800,False,14,120.0,False,1280,720,472669,112.59,1.43,0.0,0,0.0,0,12,,,,,,,
PPDmUg,15,capture,PPDmUg-20260804-160841.mp4,20260804-160841,passthrough,False,2,14.9999,1800,1800,False,14,120.0,False,1280,720,471027,113.78,1.5,0.0,0,0.0,0,12,,,,,,,
PPDmUg,15,capture,PPDmUg-20260804-161041.mp4,20260804-161041,passthrough,False,2,14.9999,1800,1800,False,14,120.0,False,1280,720,484914,111.94,1.52,0.0,0,0.0,0,12,,,,,,,
PPDmUg,15,capture,PPDmUg-20260804-161241.mp4,20260804-161241,passthrough,False,2,14.9999,1800,1800,False,14,120.0,False,1280,720,482515,104.62,2.33,0.0,0,0.0,0,12,,,,,,,
PPDmUg,15,capture,PPDmUg-20260804-161441.mp4,20260804-161441,passthrough,False,2,15.0,1799,1800,True,14,119.9,False,1280,720,471750,108.32,1.18,0.0,0,0.0,0,12,,,,,,,
PPDmUg,15,capture,PPDmUg-20260804-161641.mp4,20260804-161641,passthrough,False,2,15.0,1801,1800,True,14,120.1,False,1280,720,483109,108.92,1.4,0.0,0,0.0,0,12,,,,,,,
PPDmUg,15,capture,PPDmUg-20260804-161841.mp4,20260804-161841,passthrough,False,2,14.9999,1800,1800,False,14,120.0,False,1280,720,475856,110.49,1.65,0.0,0,0.0,0,12,,,,,,,
PPDmUg,15,capture,PPDmUg-20260804-162041.mp4,20260804-162041,passthrough,False,2,14.9999,1800,1800,False,14,120.0,False,1280,720,463057,109.0,0.29,0.0,0,0.0,0,12,,,,,,,
PPDmUg,15,capture,PPDmUg-20260804-162241.mp4,20260804-162241,passthrough,False,2,14.9999,1800,1800,False,14,120.0,False,1280,720,460068,105.38,1.42,0.0,0,0.0,0,12,,,,,,,
PPDmUg,15,capture,PPDmUg-20260804-162441.mp4,20260804-162441,passthrough,False,2,14.9999,1800,1800,False,14,120.0,False,1280,720,464921,103.28,0.9,0.0,0,0.0,0,12,,,,,,,
PPDmUg,15,capture,PPDmUg-20260804-162641.mp4,20260804-162641,passthrough,False,2,14.9999,1800,1800,False,14,120.0,False,1280,720,472666,106.1,1.47,0.0,0,0.0,0,12,,,,,,,
PPDmUg,15,capture,PPDmUg-20260804-162841.mp4,20260804-162841,passthrough,False,2,14.9999,1800,1800,False,14,120.0,True,1280,720,479794,108.06,1.29,0.0,0,0.0,0,120,67.0,66.0,67.0,0.471,0,1799,1799
PPDmUg,15,capture,PPDmUg-20260804-163041.mp4,20260804-163041,passthrough,False,2,17.6351,2100,2100,False,14,119.1,True,1280,720,575973,107.94,0.48,0.06,1,0.05,1,140,66.0,33.0,133.0,15.353,627,1471,2099
PPDmUg,15,capture,PPDmUg-20260804-163240.mp4,20260804-163240,passthrough,False,2,15.453,1949,1950,True,14,126.1,True,1280,720,531585,108.61,0.27,0.05,2,0.05,2,130,67.0,33.0,67.0,12.267,314,1634,1948
PPDmUg,15,capture,PPDmUg-20260804-163439.mp4,20260804-163439,passthrough,False,2,15.2215,1891,1890,True,14,124.2,True,1280,720,501300,112.44,1.7,0.0,0,0.0,0,126,67.0,33.0,67.0,9.21,157,1733,1890
PPDmUg,15,capture,PPDmUg-20260804-163640.mp4,20260804-163640,passthrough,False,2,15.0088,851,879,True,14,56.7,True,1280,720,490558,112.69,1.97,0.02,1,0.02,1,59,67.0,33.0,67.0,1.675,2,848,850
