segment_id,n_intervals,modal_tick,grid_rate,effective_rate,rate_ratio,predicted_skip,observed_skip,n_gaps,category
FP7oJQ-20260805-163513,239,6030,14.9254,13.7356,1.086617,11.55,12,21,skip_predicted
FP7oJQ-20260805-163623,1363,6030,14.9254,13.7677,1.084088,11.89,12,116,skip_predicted
FP7oJQ-20260807-101927,305,6030,14.9254,13.948,1.070076,14.27,12,24,skip_predicted
FP7oJQ-20260807-101947,269,6030,14.9254,13.9617,1.069023,14.49,12,20,skip_predicted
FP7oJQ-20260807-102006,232,6030,14.9254,13.8648,1.076493,13.07,12,19,skip_predicted
FP7oJQ-20260807-102122,308,6030,14.9254,13.8327,1.078988,12.66,12,27,skip_predicted
FP7oJQ-20260807-102144,271,6030,14.9254,14.0175,1.064768,15.44,7,19,skip_predicted
FP7oJQ-20260807-102203,238,6030,14.9254,13.7835,1.082842,12.07,7,21,skip_predicted
PPDmUg-20260804-093412,357,6030,14.9254,15.0,0.995025,,,1,no_skip_predicted
PPDmUg-20260804-093434,298,6030,14.9254,15.0005,0.994991,,,0,no_skip_predicted
PPDmUg-20260804-093454,212,6030,14.9254,15.0004,0.995001,,,0,no_skip_predicted
PPDmUg-20260804-104042,357,6030,14.9254,15.0,0.995025,,,1,no_skip_predicted
PPDmUg-20260804-104104,61,6030,14.9254,15.0025,0.994862,,,0,no_skip_predicted
PPDmUg-20260804-105641,356,6030,14.9254,15.0002,0.995011,,,1,no_skip_predicted
PPDmUg-20260804-105703,299,6030,14.9254,15.0003,0.995008,,,0,no_skip_predicted
PPDmUg-20260804-105724,227,6030,14.9254,15.0003,0.995003,,,0,no_skip_predicted
PPDmUg-20260804-114416,357,6030,14.9254,15.0,0.995025,,,1,no_skip_predicted
PPDmUg-20260804-114438,298,6030,14.9254,15.0005,0.994991,,,0,no_skip_predicted
PPDmUg-20260804-114458,227,6030,14.9254,15.0003,0.995003,,,0,no_skip_predicted
PPDmUg-20260804-142858,356,6030,14.9254,14.9996,0.995053,,,1,no_skip_predicted
PPDmUg-20260804-142920,299,6030,14.9254,14.9995,0.995058,,,0,no_skip_predicted
PPDmUg-20260804-142940,212,6030,14.9254,14.9993,0.995072,,,0,no_skip_predicted
PPDmUg-20260804-150849,1387,6030,14.9254,15.0001,0.995018,,,1,no_skip_predicted
PPDmUg-20260804-153241,1860,6030,14.9254,15.0,0.995025,,,1,no_skip_predicted
PPDmUg-20260804-153442,1575,6030,14.9254,15.0,0.995025,,,0,no_skip_predicted
